Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege;commentFP
MSN;BG;VA;;;Cohésion des territoires;CohésionTerritoires;"La mission porte la stratégie de l’État en matière de logement, d'hébergement, d'aménagement des territoires et de politique de la ville. Ainsi, les moyens de l'ANCT seront renforcés afin de lui permettre de développer son aide ""sur mesure"" aux collectivités territoriales, notamment les plus fragilisées. En matière de logement, la prise en compte des revenus les plus récents pour le calcul des aides au logement permettra de mieux les adapter aux situations individuelles. En outre, le plan de relance donnera une nouvelle impulsion à la rénovation énergétique, en mobilisant fortement l'Anah, ainsi qu'à la production et la réhabilitation de logements sociaux. En matière d'hébergement, l'acte II ""logement d'abord"" sera engagé et plusieurs mesures mises en place pour faire face à la crise sanitaire seront pérennisées dans le cadre du Ségur de la santé et du plan de relance. Enfin, l'effort fait par l'Etat en 2019 et 2020 en faveur des quartiers de la politique de la ville sera reconduit et amplifié en 2021."
PGM;BG;112;VA;45;Impulsion et coordination de la politique d'aménagement du territoire;ImpulCoorPolAmgtTerrit;"Dans un contexte de profonds changements sous l'effet de la métropolisation, de la périurbanisation, de la fragilisation des villes petites et moyennes et de la différenciation des trajectoires des territoires ruraux, l'enjeu pour l’État est désormais d'accompagner les collectivités locales, d'assurer l'égal accès à un socle de services fondamentaux et de veiller au dialogue et à la coopération entre tous les territoires. Dans ce cadre, le programme 112 "" Impulsion et coordination des politiques d'aménagement du territoire "" concourt à la réalisation de trois objectifs principaux : affirmer et développer l'appui apporté aux collectivités pour la réalisation de leurs projets grâce à des moyens renforcés pour l'Agence nationale de la cohésion des territoires (ANCT), accompagner les grandes transformations territoriales par le déploiement de programmes d'appuis spécifiques et inscrire le partenariat avec les collectivités dans la durée grâce à de nouveaux contrats territoriaux pluriannuels et globaux."
ACT;BG;112-11;;;FNADT section locale;FNADT section locale;
SSA;BG;112-11-01;;;CPER 2007-2014;CPER 2007-2014;
SSA;BG;112-11-02;;;CPER 2015-2020;CPER 2015-2020;
SSA;BG;112-11-03;;;Contrats de convergence et de transformation;CCT;
SSA;BG;112-11-04;;;Pactes de développement territorial;Pactes dvpmt territorial;
ACT;BG;112-12;;;FNADT section générale;FNADT section générale;
SSA;BG;112-12-01;;;Soutien au développement des territoires;Soutien dvpmt des territ.;
SSA;BG;112-12-02;;;Accès aux services;Accès aux services;
SSA;BG;112-12-03;;;Fonctionnement;Fonctionnement;
ACT;BG;112-13;;;Soutien aux Opérateurs;Soutien aux Opérateurs;
SSA;BG;112-13-01;;;SCSP de l'Agence nationale de la cohésion des territoires;SCSP ANCT;
SSA;BG;112-13-02;;;Prospective, évaluation et autres études;Prospective, éval. études;
SSA;BG;112-13-03;;;Subventions aux organismes et partenaires du réseau ANCT;Subv partenaires réseau;
SSA;BG;112-13-04;;;Certification, assistance technique et participation aux programmes de coopération;Certif ATech partcip coop;
SSA;BG;112-13-05;;;Soutien à Business France;SCSP BF;
ACT;BG;112-14;;;Prime d'aménagement du territoire, contrats de ruralité et pacte Etat-métropoles;Prime d’aménagement du te;
SSA;BG;112-14-01;;;Prime d'aménagement du territoire;PAT;
SSA;BG;112-14-02;;;Pacte État-métropoles;Pacte État-métropoles;
SSA;BG;112-14-03;;;Contrats de ruralité;Contrats de ruralité;
PGM;BG;162;VA;12;Interventions territoriales de l'État;IntervTerritÉtat;"Le programme des interventions territoriales de l’État (PITE) a préparé, en 2020, l'inscription de la nouvelle action qui portera le financement du budget annexe de la Collectivité consacré à la sécurité civile de Wallis-et-Futuna, en l’attente de la révision du statut qui attribuera cette compétence à l’assemblée territoriale.
Le programme a par ailleurs finalisé la clôture de l'action dédiée à la préservation du Marais poitevin, mis en place les actions consacrées d’une part à l’effort de l’Etat pour la transformation de la Guyane et, d’autre part, à la reconquête de la qualité des cours d’eau en Pays de la Loire, et poursuivit la mise en œuvre des mesures répondant aux principaux enjeux des actions ""eau et agriculture en Bretagne"", ""programme exceptionnel d'investissement en faveur de la Corse"", ""volet territorialisé du plan national d'action chlordécone"" en Martinique et en Guadeloupe et ""plan littoral 21"" déployé en Occitanie."
ACT;BG;162-09;;;Plan littoral 21;Plan littoral 21;
SSA;BG;162-09-91;;;Vitrine française de la résilience écologique;Résilience écologique;
SSA;BG;162-09-92;;;Economie globale portée par l'innovation qui irrigue tout le territoire;Dévpt. économique global;
SSA;BG;162-09-93;;;Littoral symbole d'attractivité, d'accueil et de cohésion républicaine;Attrac.accueil-cohés.soc.;
ACT;BG;162-02;;;Eau - Agriculture en Bretagne;Eau - Agric. en Bretagne;
SSA;BG;162-02-21;;;Inciter les agriculteurs et les autres acteurs à supprimer les atteintes à l'environnement;Suppr. Attein. Environ.;
SSA;BG;162-02-22;;;Mesurer l'évolution de la situation environnementale des milieux et faire appliquer des solutions correctives par l'action réglementaire;Mesurer évol. Sit. envir;
SSA;BG;162-02-23;;;Améliorer l'évaluation des résultats, développer le retour d'expérience et amplifier la gestion prospective et le pilotage à long terme;Améliorer éval résultats;
SSA;BG;162-02-25;;;Mettre en oeuvre le plan de lutte contre les algues vertes;Plan lutte algues vertes;
ACT;BG;162-04;;;Programme exceptionnel d'investissements en faveur de la Corse;Prog excep invest Corse;
SSA;BG;162-04-41;;;Mettre à niveau les réseaux et équipements collectifs;Mise niv rés. équip coll;
SSA;BG;162-04-42;;;Renforcer les infrastructures de mise en valeur du territoire insulaire;Mise val du terr. insul.;
SSA;BG;162-04-43;;;Résorber le déficit en services collectifs;Résorb. déficit serv coll;
SSA;BG;162-04-44;;;Assistance à maîtrise d'ouvrage;Assistance à Mait. Ouvr.;
ACT;BG;162-08;;;Volet territorialisé du plan national d'action chlordécone;Plan chlordéco. terri;
SSA;BG;162-08-81;;;Elaborer localement une stratégie d'amélioration de la qualité de vie des populations dans un contexte de pollution;Strat amél qual  vie pop;
SSA;BG;162-08-82;;;Favoriser une approche de prévention du risque sanitaire et de protection des populations dans une stratégie durable;Préven. risque sanitaire;
SSA;BG;162-08-83;;;Poursuivre les actions de recherche;Poursuite actions rech.;
SSA;BG;162-08-84;;;Evaluer les enjeux socio-économiques de la pollution au chlordécone;Enj socio-éco poll chlor.;
ACT;BG;162-10;;;Fonds interministériel pour la transformation de la Guyane;Fonds interministériel po;
SSA;BG;162-10-01;;;La cohésion des territoires;La cohésion des territoir;
SSA;BG;162-10-02;;;La mobilité multimodale;La mobilité multimodale;
SSA;BG;162-10-03;;;Les territoires résilients;Les territoires résilient;
SSA;BG;162-10-04;;;Les territoires d'innovation et de rayonnement;Les territoires d'innovat;
SSA;BG;162-10-05;;;La cohésion sociale et l'employabilité;La cohésion sociale et l';
ACT;BG;162-11;;;Reconquête de la qualité des cours d'eau en Pays de la Loire;Eau Pays de Loire;
SSA;BG;162-11-11;;;Mieux accompagner les maîtres d'ouvrage porteurs des actions de restauration des milieux aquatiques;Accomp MOA actions aqua;
SSA;BG;162-11-12;;;Accompagner la transition agro-écologique des exploitations agricoles;Acc transition agro éco;
SSA;BG;162-11-13;;;Renforcer les connaissances et le suivi;Renforcer conn et suivi;
ACT;BG;162-12;;;Service d'incendie et de secours à Wallis-et-Futuna;SIS Wallis-et-Futuna;
PGM;BG;177;VA;23;Hébergement, parcours vers le logement et insertion des personnes vulnérables;LogementInsertionPersVuln;"Tout en répondant aux besoins urgents, le Gouvernement a l'ambition d'amener les sans-abris plus directement vers le logement pérenne et autonome, dans le cadre de la stratégie du ""logement d'abord"". Cette dernière se traduit par une hausse de 65M€ des crédits du logement adapté par rapport à la loi de finances pour 2020. Les moyens alloués aux politiques de veille sociale et d'hébergement d'urgence augmentent également de 215M€, permettant notamment de financer la pérennisation de 14000 places d'hébergement. La stratégie nationale de prévention et de lutte contre la pauvreté est également mobilisée autour de ces objectifs avec une enveloppe supplémentaire de 5M€ pour soutenir les publics les plus fragiles. Ainsi en 2021 les crédits du programme 177 augmentent de près de 209M€ par rapport à la loi de finances initiale 2020, atteignant un montant de 2200M€."
ACT;BG;177-11;;;Prévention de l'exclusion;Prévention de l'exclusion;
SSA;BG;177-11-01;;;Alloctaions et aides sociales;Alloctaions et aides soci;
SSA;BG;177-11-05;;;Autres actions de prévention de l'exclusion;Autres actions de prévent;
SSA;BG;177-11-02;;;Gens du voyage - action sociale;Gens du voyage - action s;
SSA;BG;177-11-03;;;Gens du voyage - aide aux collectivités et organismes gérant des aires d'accueil des gens du voyage (ALT2);Gens du voyage - aide aux;
ACT;BG;177-12;;;Hébergement et logement adapté;Hébergement et logement a;
SSA;BG;177-12-01;;;Plate-forme de veille sociale : 115;Plate-forme de veille soc;
SSA;BG;177-12-02;;;Plate-forme de veille sociale : SAO;Plate-forme de veille soc;
SSA;BG;177-12-03;;;Plate-forme de veille sociale : accueil de jour;Plate-forme de veille soc;
SSA;BG;177-12-04;;;Plate-forme de veille sociale : SAMU social, équipes mobiles;Plate-forme de veille soc;
SSA;BG;177-12-06;;;Hébergement d'urgence - hors centres d'hébergement et de réinsertion sociale (CHRS);Hébergement d'urgence - h;
SSA;BG;177-12-10;;;Centres d'hébergement et de réinsertion sociale (CHRS) - structures en dotation globale;Centres d’hébergement et ;
SSA;BG;177-12-07;;;Nuits d'hôtel;Nuits d'hôtel;
SSA;BG;177-12-08;;;Accompagnement social lié à l'hébergement;Accompagnement social lié;
SSA;BG;177-12-15;;;Allocation de logement temporaire (ALT1);Allocation de logement te;
SSA;BG;177-12-12;;;Résidences sociales (aide à la gestion locative sociale);Résidences sociales (aide;
SSA;BG;177-12-13;;;Maisons-relais;Maisons-relais;
SSA;BG;177-12-11;;;Adaptation à la vie active dans les CHRS;Adaptation à la vie activ;
SSA;BG;177-12-17;;;Autres actions en faveur de l'hébergement et du logement adapté;Autres actions en faveur ;
SSA;BG;177-12-09;;;Hébergement de stabilisation - hors centres d'hébergement et de réinsertion sociale (CHRS);Hébergement de stabilisat;
SSA;BG;177-12-05;;;Service intégré de l'accueil et de l'orientation (SIAO);Service intégré de l'accu;
SSA;BG;177-12-14;;;Intermédiation locative;Intermédiation locative;
SSA;BG;177-12-16;;;Accompagnement vers et dans le logement;Accompagnement vers et da;
ACT;BG;177-14;;;Conduite et animation des politiques de l'hébergement et de l'inclusion sociale;Conduite et animation des;
SSA;BG;177-14-01;;;Ingénierie et outils de la gouvernance;Ingénierie et outils de l;
SSA;BG;177-14-02;;;Soutien financier aux organismes nationaux intervenant dans le champ social : FONJEP;Soutien financier aux org;
SSA;BG;177-14-03;;;Soutien financier aux organismes nationaux intervenant dans le champ social : autres organismes nationaux;Soutien financier aux org;
SSA;BG;177-14-04;;;Institut de formation aux carrières administratives, sanitaires et sociales de Dieppe;Institut de formation aux;
SSA;BG;177-14-06;;;Autres actions de conduite et d'animation de la politique de de l'hébergement et de l'inclusion social;Autres actions de conduit;
PGM;BG;109;VA;23;Aide à l'accès au logement;Aide accès logement;"Le programme 109 a pour objet principal le financement des aides personnelles au logement (APL). Premier poste budgétaire de la politique du logement, ces aides représenteront 15,7 Md€ en 2021. 
Il porte également le financement des associations œuvrant dans le domaine de l’accès au logement ainsi que de la fin de la garantie des risques locatifs, remplacée depuis 2016 par le dispositif « Visale ».
L’année 2021 sera marquée par la réforme dite des « APL en temps réel » qui vise à calculer les APL sur la base des revenus des douze derniers mois, en lieu et place des données fiscales ayant deux ans d’ancienneté. 
Le nouveau système sera plus simple et plus juste pour les allocataires. Dans le contexte de crise sanitaire et économique, cette réforme aura un effet protecteur pour les bénéficiaires, en s’adaptant de manière réactive et progressive à l’évolution des ressources et aux changements de situation."
ACT;BG;109-01;;;Aides personnelles;Aides personnelles;
ACT;BG;109-02;;;Information relative au logement et accompagnement des publics en difficulté;Info logt accompagnement;
SSA;BG;109-02-01;;;Information sur le logement (ANIL et ADIL);Info logt (ANIL et ADIL);
SSA;BG;109-02-02;;;Autres interventions de l'Etat en faveur du logement des publics en difficulté;Autres interventions Etat;
ACT;BG;109-03;;;Sécurisation des risques locatifs;Sécurisation des risques ;
SSA;BG;109-03-01;;;Garantie des risques locatifs;Garantie des risques loca;
PGM;BG;147;VA;45;Politique de la ville;PolitiqueVille;La politique de la ville intervient de manière territorialisée dans 1 514 quartiers prioritaires correspondant aux concentrations urbaines de pauvreté tant en métropole qu’en Outre-mer, où vivent 5,5 millions de personnes. Les crédits d’intervention spécifiques de la politique de la ville, regroupés au sein du programme 147, les crédits de l’Agence nationale pour la rénovation urbaine (ANRU) ainsi que les diverses dispositions, notamment fiscales, ont un effet levier sur les politiques de droit commun et les complètent, dans le cadre fixé par la géographie prioritaire et la génération de contrats de ville 2014-2022. Dans le cadre de la poursuite de la « mobilisation nationale pour les quartiers » lancée à l’été 2018, les moyens financiers affectés aux quartiers prioritaires de la politique de la ville permettent l’amplification de nouveaux projets répondant aux enjeux d’éducation, de santé, d’emploi ou de lien social (postes d’adultes relais et FONJEP, cités éducatives, plateforme pour les stages de 3ème).
ACT;BG;147-02;;;Revitalisation économique et emploi;Emploi;
SSA;BG;147-02-20;;;Allègement de charges sociales dans les zones franches urbaines et les zones de redynamisation urbaine;Exonérations ZFU-ZRU;
SSA;BG;147-02-21;;;Fonctionnement de l'établissement public d'insertion de la défense;Subvention EPIDe;
ACT;BG;147-03;;;Stratégie, ressources et évaluation;Stratégie;
SSA;BG;147-03-35;;;Etudes et communications;Etudes - Comm;
SSA;BG;147-03-30;;;Centre de ressources - Formation des acteurs régionaux;Centres de ressources;
SSA;BG;147-03-31;;;Fonctionnement des services et formation des acteurs de la politique de la ville;Formation;
SSA;BG;147-03-32;;;Evaluation - accompagnement des acteurs;Eval_Accomp_Acteurs;
SSA;BG;147-03-34;;;Partenariat National;Associations;
SSA;BG;147-03-36;;;Mesures expérimentales;Expérimentation;
SSA;BG;147-03-38;;;Délégués du Prefet;Délégués du Prefet;
ACT;BG;147-01;;;Actions territorialisées et Dispositifs spécifiques de la politique de la ville;Actions territorialisées;
SSA;BG;147-01-17;;;Investissement  régionaux (CPER) (Ex FIV);Ex FIV régions-CPER;
SSA;BG;147-01-10;;;Programme d'action des contrats de ville;Actions contrats de ville;
SSA;BG;147-01-11;;;Réussite éducative;Réussite éducative;
SSA;BG;147-01-12;;;Adultes relais;Adultes relais;
SSA;BG;147-01-18;;;Investissement  régionaux (hors CPER) (Ex FIV);Ex FIV régions-Hors CPER;
SSA;BG;147-01-20;;;Délégation interministérielle à la lutte contre le racisme et l'antisémitisme (DILCRA);DILCRA;
ACT;BG;147-04;;;Rénovation urbaine et amélioration du cadre de vie;Rénovation urbaine;
SSA;BG;147-04-40;;;Programme national de rénovation urbaine;PNRU;
SSA;BG;147-04-41;;;Grands Projets de ville et opérations de renouvellement urbain (CPER);Ex GPV-ORU -CPER;
SSA;BG;147-04-42;;;Grands Projets de ville et opérations de renouvellement urbain (hors CPER);EX GPV-ORU - Hors CPER;
SSA;BG;147-04-44;;;Amélioration du cadre de vie - Collèges dégradés (ANRU);Collèges dégradés (ANRU);
SSA;BG;147-04-45;;;Fonctionnement de l'agence nationale de rénovation urbaine (ANRU);Fonctionnement de l'ANRU;
PGM;BG;135;VA;23;Urbanisme, territoires et amélioration de l'habitat;UrbTerritoiresAmeHabitat;Le programme 135 est un des outils majeurs du financement de la politique du logement. En matière de logement social, il est abondé par le fonds national des aides à la pierre (FNAP) pour assurer le respect de l’engagement de l’Etat et de ses partenaires de construire 110 000 logements sociaux par an. Le programme contribue, notamment via l’Anah, à la réhabilitation du parc privé en matière de lutte contre l’habitat indigne, de rénovation énergétique (dispositifs Habiter Mieux et MaPrimeRénov’) et d’adaptation des logements à la perte d’autonomie. L’intervention sur le parc privé intervient notamment dans le cadre des plans gouvernementaux Action cœur de ville, Initiatives copropriétés et Petites villes de demain. Il vise un développement équilibré des territoires en mobilisant les outils des politiques d'urbanisme et d'aménagement. Il soutient la construction, l’investissement locatif, l’amélioration de l’habitat et la lutte contre l’artificialisation par des dispositifs fiscaux adaptés (environ 13 Md€).
ACT;BG;135-02;;;Soutien à l'accession à la propriété;Soutien à l'accession à l;
SSA;BG;135-02-03;;;Participation aux frais de gestion de la société de gestion du fonds de garantie de l'accession sociale;Part frais gestion SGFGAS;
ACT;BG;135-01;;;Construction locative et amélioration du parc;Construction locative et ;
SSA;BG;135-01-03;;;Gens du voyage - aires d'accueil;GDV - aires d'accueil;
SSA;BG;135-01-04;;;Parc locatif social - Conventions de délégation de compétence (article 61 de la loi du 13 août 2004);PLS Convention délégation;
SSA;BG;135-01-06;;;Parc locatif social - Hors conventions de délégation de compétence - Offre nouvelle en construction neuve et acquisition amélioration y compris surchage foncière;PLS Hors conv Offre nouv ;
SSA;BG;135-01-07;;;Parc locatif social - Hors conventions de délégation de compétence - Réhabilitation et amélioration de la qualité de service;PLS Hors conv Réhabilitat;
SSA;BG;135-01-15;;;Bassin Minier;Bassin Minier;
SSA;BG;135-01-16;;;Gens du voyage - évacuation des campements;GDV-Evacuat. camp.;
SSA;BG;135-01-17;;;PLS Conv délég Offre nouvelle;PLS CD Offre nouvelle;
SSA;BG;135-01-18;;;PLS Conv Délég Réhabilitation;PLS CD Réhabilitation;
SSA;BG;135-01-19;;;PLS Conv Délég Démolition;PLS CD Démolition;
SSA;BG;135-01-20;;;PLS Conv Délég MOUS;PLS CV MOUS;
SSA;BG;135-01-14;;;FNAP - versement;FNAP - versement;
SSA;BG;135-01-13;;;SNE;SNE;
SSA;BG;135-01-11;;;Parc locatif social - Hors conventions de délégation de compétence - Maîtrise d'oeuvre urbaine et sociale et autres prestations d'ingénierie;hors DAP, MOUS ingénierie;
SSA;BG;135-01-08;;;Parc locatif social - Hors conventions de délégation de compétence - Démolition et changement d'usage;PLS Hors conv Démolition;
ACT;BG;135-03;;;Lutte contre l'habitat indigne;Lutte contre hab. indigne;
SSA;BG;135-03-01;;;Lutte contre l'insalubrité;Lutte contre insalubrité;
SSA;BG;135-03-02;;;Lutte contre le risque plomb;Lutte contre risque plomb;
SSA;BG;135-03-07;;;LHI - travaux d'office;LHI-Trx d'office;
SSA;BG;135-03-08;;;LHI - autres dépenses : diagnostics;LHI hors trx d'office;
ACT;BG;135-05;;;Soutien;Soutien;
SSA;BG;135-05-05;;;Déplacements des agents de l'administration centrale et remboursement de personnel mis a disposition;Déplacements agents AC;
SSA;BG;135-05-01;;;Observation, études et évaluation : études centrales;Observ : études centrales;
SSA;BG;135-05-02;;;Communication;Communication;
SSA;BG;135-05-03;;;Formation : actions nationales et interrégionales;Formation AC;
SSA;BG;135-05-04;;;Informatique Logement;Informatique Logement;
SSA;BG;135-05-06;;;Observation, études et évaluation : études locales;Observ : études locales;
SSA;BG;135-05-10;;;Commissions de médiation pour le droit au logement opposable;COM DALO;
SSA;BG;135-05-13;;;Informatique Urbanisme;Info Urba;
ACT;BG;135-04;;;Réglementation, politique technique et qualité de la construction;Réglementation qual const;
SSA;BG;135-04-03;;;Qualité de la construction : études;Qualité construc : études;
SSA;BG;135-04-01;;;Contentieux DALO;Ctx DALO;
SSA;BG;135-04-05;;;Contentieux de l'urbanisme;Contentieux de l'urbanism;
SSA;BG;135-04-06;;;Observatoires du logement;Observatoires du logement;
SSA;BG;135-04-08;;;Rénovation Anah;Rénov. Anah;
SSA;BG;135-04-09;;;Contentieux habitat hors DALO;Ctx habitat Hors DALO;
ACT;BG;135-07;;;Urbanisme et aménagement;Urbanisme et aménagement;
SSA;BG;135-07-04;;;Aide aux maires bâtisseurs;Aide aux maires bâtisseur;
SSA;BG;135-07-05;;;Architectes et paysagistes conseils;Archit et Paysag.conseils;
SSA;BG;135-07-02;;;Politiques d'aménagement de l'Etat (CPER);Politiq aménagt (CPER);
SSA;BG;135-07-03;;;Politiques d'aménagement de l'Etat (hors CPER);Politiq aménagt (HCPER);
SSA;BG;135-07-01;;;Villes et territoires durables;Villes & territ. durables;
SSA;BG;135-07-06;;;Agences d'urbanisme;Agences Urba;
MSN;BG;AA;;;Action extérieure de l'État;ActionExtÉtat;
